depth_m,wind_speed_mps,current_speed_mps,chain_model,link_count,chain_length_m,ball_mass_kg,barrel_angle_deg,last_chain_angle_deg,buoy_draft_m,swing_radius_m,pipe_1_angle_deg,pipe_2_angle_deg,pipe_3_angle_deg,pipe_4_angle_deg,suspended_chain_length_m,seabed_chain_length_m,depth_residual_m,chain_regime,barrel_angle_within_5deg,anchor_angle_within_16deg,status,message
18.0,36.0,0.0,I,210,16.38,1200.0,9.008942790597816,46.02443743269855,0.7345017708014749,11.548998456405885,8.737088309525067,8.787856824766967,8.839214073552588,8.891170272437012,16.37999999999995,0.0,-3.552713678800501e-15,fully_suspended,0,0,ok,
18.0,36.0,0.0,II,210,22.05,1200.0,9.445774635771814,20.887347865576658,0.7197730771966371,18.87199191427618,9.150904440801447,9.205924514894418,9.261604403784649,9.317955940985767,22.05000000000007,0.0,1.0658141036401503e-14,fully_suspended,0,0,ok,
18.0,36.0,0.0,III,210,25.2,1200.0,8.92660752121757,0.0,0.737397514079388,21.6941841194327,8.658994458192225,8.708978899484938,8.759539237551957,8.81068540274846,25.001198794229627,0.19880120577040264,3.552713678800501e-15,touchdown_with_seabed_contact,0,1,ok,
18.0,36.0,0.0,IV,210,31.5,1200.0,8.211328881037842,0.0,0.7643275645424827,27.064232024408504,7.979262151490463,8.022667998057447,8.066545527545536,8.110902418173676,21.14138188748122,10.358618112518773,2.1316282072803006e-14,touchdown_with_seabed_contact,0,1,ok,
18.0,36.0,0.0,V,210,37.8,1200.0,7.494647854044323,0.0,0.794963927225611,32.52321815307212,7.295834811622637,7.333073572873691,7.3706923160822715,7.408696854104974,18.69580843953192,19.10419156046804,-1.4210854715202004e-14,touchdown_with_seabed_contact,0,1,ok,
18.0,36.0,0.5,I,210,16.38,1200.0,9.516524850125476,46.160281753064346,0.7422422121139565,11.588693062255686,9.111791245567836,9.182790976211312,9.254585707479142,9.327188631921066,16.37999999999995,0.0,3.552713678800501e-15,fully_suspended,0,0,ok,
18.0,36.0,0.5,II,210,22.05,1200.0,10.048398986953123,22.107393526514414,0.7243074635247493,18.946964675323056,9.610842442600585,9.68771808084704,9.765489028041992,9.844170717900727,22.05000000000007,0.0,7.105427357601002e-15,fully_suspended,0,0,ok,
18.0,36.0,0.5,III,210,25.2,1200.0,9.554828228280217,2.246608792852176,0.7408990087422291,21.909485256592067,9.1477696173662,9.219185535115827,9.291403433454883,9.364436658210069,25.20000000000003,0.0,7.105427357601002e-15,fully_suspended,0,1,ok,
18.0,36.0,0.5,IV,210,31.5,1200.0,8.813804845788853,0.0,0.7684603880804564,27.314721440866872,8.450647549546126,8.514206134118028,8.578438262814753,8.643354529975934,21.92635176253991,9.573648237460073,1.0658141036401503e-14,touchdown_with_seabed_contact,0,1,ok,
18.0,36.0,0.5,V,210,37.8,1200.0,8.074101972559868,0.0,0.7997345250883179,32.795190145178466,7.75247263052395,7.808602102187244,7.8652904811572695,7.922546040218563,19.324153538597802,18.475846461402156,-1.4210854715202004e-14,touchdown_with_seabed_contact,0,1,ok,
