node_index,x_m,z_m
0,18.0660037344481,12.3456241176807
1,17.9922831113485,12.2708560113131
2,17.9184511109789,12.1961978856909
3,17.8445075613621,12.1216502400536
4,17.7704522912397,12.0472135759215
5,17.6962851300875,11.9728883971016
6,17.6220059081292,11.8986752096934
7,17.5476144563526,11.8245745220949
8,17.4731106065237,11.7505868450083
9,17.3984941912024,11.6767126914457
10,17.3237650437577,11.6029525767346
11,17.2489229983835,11.5293070185237
12,17.173967890114,11.4557765367878
13,17.0988995548397,11.3823616538338
14,17.0237178293233,11.3090628943056
15,16.948422551216,11.235880785189
16,16.8730135590737,11.1628158558174
17,16.7974906923734,11.0898686378762
18,16.7218537915298,11.017039665408
19,16.6461026979123,10.9443294748171
20,16.5702372538618,10.8717386048746
21,16.4942573027075,10.7992675967224
22,16.4181626887846,10.7269169938781
23,16.3419532574515,10.6546873422392
24,16.2656288551072,10.5825791900871
25,16.1891893292093,10.5105930880917
26,16.1126345282915,10.4387295893149
27,16.0359643019823,10.3669892492147
28,15.9591785010224,10.2953726256491
29,15.8822769772835,10.2238802788794
30,15.8052595837868,10.152512771574
31,15.7281261747218,10.0812706688116
32,15.6508766054646,10.0101545380846
33,15.5735107325977,9.93916494930186
34,15.4960284139285,9.86830247479214
35,15.4184295085089,9.79756768930658
36,15.3407138766551,9.72696117002153
37,15.2628813799664,9.65648349654107
38,15.1849318813463,9.58613525089937
39,15.1068652450212,9.51591701756297
40,15.0286813365614,9.44582938343284
41,14.9503800229013,9.37587293784634
42,14.8719611723595,9.30604827257894
43,14.7934246546599,9.23635598184588
44,14.7147703409523,9.1667966623036
45,14.6359981038334,9.09737091305099
46,14.5571078173681,9.02807933563052
47,14.4780993571105,8.95892253402917
48,14.3989726001259,8.88990111467914
49,14.3197274250118,8.82101568645851
50,14.2403637119204,8.75226686069154
51,14.1608813425799,8.68365525114891
52,14.0812802003174,8.61518147404776
53,14.0015601700804,8.54684614805144
54,13.9217211384601,8.47864989426922
55,13.8417629937133,8.41059333625567
56,13.7616856257858,8.34267710000987
57,13.6814889263349,8.27490181397446
58,13.6011727887529,8.20726810903445
59,13.5207371081903,8.1397766185158
60,13.4401817815791,8.07242797818381
61,13.3595067076567,8.0052228262413
62,13.2787117869895,7.93816180332652
63,13.1977969219968,7.87124555251089
64,13.1167620169753,7.8044747192965
65,13.0356069781227,7.73784995161334
66,12.9543317135628,7.67137189981634
67,12.8729361333698,7.60504121668213
68,12.7914201495931,7.5388585574056
69,12.7097836762821,7.4728245795962
70,12.6280266295112,7.40693994327395
71,12.5461489274056,7.34120531086526
72,12.464150490166,7.27562134719843
73,12.3820312400942,7.21018871949898
74,12.2997911016194,7.1449080973846
75,12.2174300013233,7.07978015285991
76,12.1349478679664,7.01480556031094
77,12.0523446325144,6.94998499649932
78,11.9696202281639,6.88531914055619
79,11.8867745903694,6.82080867397582
80,11.8038076568694,6.756454280609
81,11.7207193677136,6.69225664665604
82,11.6375096652893,6.62821646065959
83,11.5541784943487,6.56433441349705
84,11.4707258020361,6.50061119837279
85,11.3871515379148,6.43704751080995
86,11.303455653995,6.37364404864204
87,11.2196381047609,6.31040151200417
88,11.1356988471988,6.24732060332395
89,11.0516378408246,6.1844020273121
90,10.967455047712,6.12164649095273
91,10.8831504325202,6.05905470349331
92,10.7987239625226,5.99662737643423
93,10.7141756076346,5.93436522351815
94,10.6295053404426,5.8722689607189
95,10.544713136232,5.81033930623009
96,10.4597989730161,5.74857698045336
97,10.3747628315651,5.68698270598629
98,10.2896046954347,5.62555720760994
99,10.204324550995,5.56430121227601
100,10.1189223874601,5.50321544909372
101,10.0333981969169,5.44230064931622
102,9.94775197435457,5.3815575463267
103,9.86198371769374,5.32098687562409
104,9.77609342781636,5.26058937480842
105,9.69008110859501,5.20036578356575
106,9.6039467669227,5.14031684365272
107,9.51769041274259,5.0804432988808
108,9.43131205907786,5.02074589509998
109,9.3448117220616,4.96122538018223
110,9.25818942096684,4.90188250400448
111,9.17144517823659,4.84271801843115
112,9.08457901951402,4.78373267729638
113,8.99759097367259,4.72492723638579
114,8.91048107284637,4.66630245341778
115,8.82324935246032,4.60785908802452
116,8.73589585126069,4.5495979017324
117,8.64842061134538,4.49151965794215
118,8.56082367819446,4.43362512190848
119,8.47310510070064,4.37591506071928
120,8.38526493119982,4.3183902432744
121,8.29730322550163,4.26105144026401
122,8.20922004292004,4.20389942414647
123,8.12101544630401,4.1469349691258
124,8.03268950206805,4.09015885112864
125,7.94424228022296,4.03357184778083
126,7.8556738544064,3.97717473838349
127,7.7669843019136,3.9209683038886
128,7.67817370372803,3.86495332687423
129,7.589242144552,3.80913059151918
130,7.50018971283735,3.75350088357722
131,7.41101650081606,3.69806499035085
132,7.32172260453084,3.64282370066455
133,7.23230812386573,3.58777780483762
134,7.14277316257662,3.53292809465646
135,7.05311782832177,3.47827536334639
136,6.96334223269226,3.42382040554302
137,6.87344649124241,3.3695640172631
138,6.78343072352012,3.31550699587488
139,6.69329505309719,3.26165014006794
140,6.60303960759953,3.20799424982261
141,6.5126645187373,3.15454012637881
142,6.42216992233502,3.10128857220442
143,6.33155595836152,3.04824039096313
144,6.24082277095985,2.99539638748182
145,6.14997050847707,2.94275736771739
146,6.05899932349396,2.89032413872309
147,5.96790937285457,2.83809750861436
148,5.87670081769571,2.78607828653412
149,5.78537382347626,2.73426728261758
150,5.69392856000637,2.6826653079565
151,5.60236520147654,2.63127317456297
152,5.51068392648654,2.58009169533261
153,5.41888491807414,2.52912168400731
154,5.32696836374376,2.47836395513743
155,5.23493445549484,2.42781932404341
156,5.14278338985017,2.377488606777
157,5.05051536788391,2.32737262008179
158,4.95813059524951,2.27747218135337
159,4.86562928220736,2.22778810859882
160,4.77301164365232,2.17832122039582
161,4.68027789914095,2.12907233585109
162,4.58742827291857,2.08004227455841
163,4.49446299394608,2.03123185655604
164,4.40138229592652,1.98264190228366
165,4.30818641733144,1.93427323253875
166,4.21487560142697,1.88612666843246
167,4.1214500962996,1.83820303134494
168,4.02791015488181,1.79050314288012
169,3.93425603497725,1.74302782482007
170,3.84048799928582,1.69577789907866
171,3.74660631542826,1.64875418765484
172,3.65261125597065,1.60195751258535
173,3.55850309844837,1.55538869589689
174,3.46428212538997,1.50904855955778
175,3.3699486243405,1.46293792542909
176,3.27550288788465,1.41705761521531
177,3.18094521366949,1.37140845041443
178,3.08627590442682,1.32599125226751
179,2.99149526799525,1.28080684170781
180,2.89660361734182,1.23585603930934
181,2.80160127058323,1.19113966523494
182,2.7064885510068,1.14665853918382
183,2.61126578709088,1.10241348033865
184,2.51593331252493,1.05840530731213
185,2.4204914662292,1.01463483809301
186,2.32494059237392,0.971102889991736
187,2.2292810403981,0.927810279585497
188,2.13351316502789,0.884757822662852
189,2.03763732629444,0.841946334167851
190,1.94165388955134,0.79937662814369
191,1.84556322549157,0.757049517675897
192,1.74936571016398,0.714965814835042
193,1.65306172498925,0.67312633061899
194,1.55665165677539,0.631531874894703
195,1.46013589773272,0.590183256339582
196,1.3635148454883,0.549081282382364
197,1.26678890309986,0.508226759143581
198,1.16995847906922,0.467620491375584
199,1.0730239873551,0.427263282402134
200,0.975985847385459,0.387155934057574
201,0.878844484069162,0.347299246625584
202,0.78160032780719,0.30769401877752
203,0.684253814503187,0.268341047510361
204,0.586805385573463,0.229241128084251
205,0.489255487956367,0.19039505395965
206,0.391604574121075,0.151803616734112
207,0.293853102075758,0.113467606078681
208,0.196001535375107,0.0753878096739218
209,0.0980503431272481,0.0375650131456009
210,0,0
