ball_mass_kg,barrel_angle_deg,anchor_angle_deg,buoy_draft_m,swing_radius_m,feasible
1200,9.44577463577181,20.8873478655767,0.719773077196637,18.8719919142762,0
1210,9.36658742118132,20.8449130820266,0.722366607794112,18.8669744507984,0
1220,9.28838501043995,20.8024401894378,0.724960341779798,18.8620158016821,0
1230,9.21114953784605,20.759926304322,0.727554275599454,18.8571149259334,0
1240,9.13486355677636,20.7173686017603,0.730148405811127,18.8522708011836,0
1250,9.05951002781469,20.6747643130793,0.732742729081127,18.8474824232894,0
1260,8.98507230726817,20.6321107236164,0.735337242180171,18.8427488059398,0
1270,8.91153413605718,20.5894051705701,0.737931941979683,18.83806898027,0
1280,8.83887962896527,20.5466450409334,0.740526825448243,18.8334419944831,0
1290,8.76709326423617,20.5038277695043,0.743121889648178,18.8288669134788,0
1300,8.69615987350549,20.4609508369718,0.745717131732291,18.8243428184887,0
1310,8.62606463205489,20.4180117680723,0.748312548940718,18.8198688067198,0
1320,8.55679304937742,20.3750081298156,0.750908138597914,18.815443991004,0
1330,8.48833096004276,20.3319375297752,0.753503898109753,18.8110674994551,0
1340,8.42066451485177,20.2887976144421,0.756099824960746,18.8067384751325,0
1350,8.35378017227019,20.2455860676365,0.758695916711361,18.802456075712,0
1360,8.28766469013135,20.2023006089795,0.761292170995461,18.7982194731627,0
1370,8.22230511759875,20.1589389924169,0.763888585517825,18.7940278534309,0
1380,8.1576887873792,20.1154990047971,0.766485158051778,18.789880416131,0
1390,8.09380330817774,20.0719784644978,0.769081886436903,18.7857763742418,0
1400,8.03063655738595,20.0283752201025,0.771678768576847,18.7817149538099,0
1410,7.9681766739956,19.9846871491206,0.774275802437205,18.777695393659,0
1420,7.90641205172969,19.9409121567537,0.77687298604349,18.7737169451051,0
1430,7.84533133238352,19.8970481747027,0.779470317479175,18.7697788716784,0
1440,7.78492339936839,19.8530931600157,0.782067794883811,18.7658804488505,0
1450,7.72517737145121,19.8090450939749,0.784665416451215,18.7620209637672,0
1460,7.66608259668306,19.7649019810194,0.787263180427725,18.7581997149876,0
1470,7.60762864651047,19.7206618477049,0.789861085110521,18.7544160122285,0
1480,7.54980531006309,19.6763227416968,0.792459128846007,18.7506691761137,0
1490,7.49260258861189,19.6318827307953,0.795057310028254,18.7469585379295,0
1500,7.436010690192,19.5873399019929,0.797655627097496,18.743283439385,0
1510,7.38002002438478,19.5426923605612,0.800254078538687,18.7396432323774,0
1520,7.32462119725375,19.497938229166,0.802852662880107,18.7360372787624,0
1530,7.26980500642922,19.4530756470107,0.805451378692017,18.7324649501296,0
1540,7.21556243633667,19.4081027690057,0.808050224585365,18.7289256275828,0
1550,7.16188465356422,19.3630177649632,0.810649199210542,18.7254187015242,0
1560,7.10876300236445,19.3178188188161,0.81324830125617,18.7219435714447,0
1570,7.05618900028624,19.2725041278597,0.815847529447948,18.7184996457167,0
1580,7.00415433393236,19.2270719020179,0.818446882547534,18.7150863413931,0
1590,6.9526508548387,19.1815203631267,0.821046359351457,18.7117030840095,0
1600,6.90167057547114,19.1358477442426,0.823645958690081,18.7083493073909,0
1610,6.85120566533629,19.0900522889684,0.826245679426601,18.7050244534622,0
1620,6.80124844720246,19.0441322507973,0.828845520456069,18.7017279720633,0
1630,6.7517913934272,18.9980858924765,0.831445480704458,18.6984593207675,0
1640,6.70282712238806,18.9519114853877,0.834045559127759,18.6952179647037,0
1650,6.65434839501328,18.9056073089445,0.83664575471111,18.692003376383,0
1660,6.60634811140925,18.8591716500042,0.839246066467949,18.688815035528,0
1670,6.55881930758155,18.8126028022976,0.841846493439203,18.6856524289058,0
1680,6.51175515224673,18.7658990658711,0.844447034692502,18.6825150501653,0
1690,6.46514894373197,18.719058746544,0.847047689321419,18.6794023996769,0
1700,6.41899410695977,18.6720801553791,0.849648456444736,18.6763139843756,0
1710,6.37328419051512,18.6249616081667,0.852249335205736,18.6732493176078,0
1720,6.32801286379244,18.5777014249192,0.854850324771517,18.6702079189806,0
1730,6.28317391422005,18.5302979293806,0.857451424332332,18.6671893142146,0
1740,6.23876124455945,18.4827494485443,0.860052633100947,18.6641930349996,0
1750,6.19476887027739,18.4350543121847,0.862653950312024,18.6612186188527,0
1760,6.1511909169884,18.3872108523957,0.865255375221522,18.6582656089797,0
1770,6.10802161796546,18.3392174031438,0.867856907106119,18.6553335541393,0
1780,6.06525531171709,18.2910722998263,0.870458545262655,18.6524220085096,0
1790,6.02288643962843,18.2427738788416,0.873060289007588,18.6495305315573,0
1800,5.98090954366471,18.194320477168,0.875662137676474,18.6466586879094,0
1810,5.93931926413504,18.1457104319488,0.878264090623457,18.6438060472281,0
1820,5.89811033751477,18.0969420800885,0.880866147220786,18.6409721840864,0
1830,5.85727759432465,18.0480137578544,0.883468306858334,18.6381566778481,0
1840,5.81681595706512,17.9989238004867,0.886070568943148,18.6353591125484,0
1850,5.77672043820407,17.9496705418147,0.888672932898998,18.6325790767777,0
1860,5.73698613821647,17.9002523138818,0.891275398165952,18.629816163567,0
1870,5.6976082436744,17.8506674465738,0.893877964199962,18.6270699702761,0
1880,5.65858202538595,17.8009142672558,0.896480630472457,18.6243400984827,0
1890,5.61990283658151,17.7509911004141,0.899083396469959,18.6216261538749,0
1900,5.5815661111462,17.7008962673042,0.901686261693704,18.6189277461442,0
1910,5.54356736189702,17.6506280856024,0.904289225659275,18.6162444888816,0
1920,5.50590217890334,17.6001848690651,0.906892287896256,18.6135759994748,0
1930,5.46856622784969,17.5495649271901,0.909495447947881,18.6109218990075,0
1940,5.43155524843939,17.4987665648852,0.912098705370709,18.60828181216,0
1950,5.39486505283806,17.4477880821385,0.9147020597343,18.6056553671123,0
1960,5.3584915241557,17.3966277736954,0.917305510620906,18.6030421954479,0
1970,5.32243061496639,17.3452839287373,0.919909057625172,18.6004419320597,0
1980,5.28667834586444,17.2937548305648,0.922512700353837,18.5978542150576,0
1990,5.25123080405594,17.2420387562851,0.925116438425462,18.5952786856771,0
2000,5.21608414198489,17.1901339765018,0.927720271470148,18.5927149881899,0
2010,5.18123457599269,17.1380387550074,0.930324199129275,18.5901627698151,0
2020,5.14667838501026,17.0857513484807,0.932928221055244,18.5876216806328,0
2030,5.11241190928175,17.0332700061836,0.935532336911229,18.5850913734985,0
2040,5.07843154911906,16.9805929696646,0.938136546370934,18.5825715039583,0
2050,5.04473376368624,16.9277184724608,0.940740849118362,18.5800617301666,0
2060,5.011315069813,16.8746447398045,0.943345244847587,18.5775617128037,0
2070,4.97817204083649,16.821369988331,0.945949733262534,18.5750711149953,0
2080,4.94530130547059,16.7678924257888,0.948554314076769,18.5725896022332,0
